jno	jname	bno	jmoney	jpeople	jday	jtime	jwork	jgrade
490	카카오프렌즈에서 귀엽고 특별한 경험을 나눌 직원을 모집합니다!	14	11000	2	2	7	1	1
491	빈폴 '트레디셔널 캐주얼' 모집! 의류 판매/매장 관리! 단정한 패션 알바!	137	11000	4	5	4	1	1
492	한화리조트 '힐링 서포터즈' 구인! 시설 관리/안내! 자연 속에서 일하기!	132	14000	6	3	5	0	2
493	영화를 사랑하는 사람들, 롯데시네마에서 영화를 즐길 기회를 놓치지 마세요!	12	12000	1	5	4	1	1
494	올리브영에서 뷰티와 건강을 책임질 직원을 모집합니다!	5	13000	6	3	4	1	2
495	전설의 시작! 맥도날드 크루 상시 모집! 초고속 승진 가능!	24	15000	5	3	7	0	1
496	스타벅스에서 '나만의 커피 스토리' 만들 파트너 구해요! (성장 기회 가득!)	2	14000	1	4	7	0	2
497	쥬씨 '과일 슬라이스 달인' 알바 찾아요! 주스 제조/판매! 상큼한 에너지!	109	15000	5	1	6	1	1
498	다이소에서 다양한 상품을 소개하며 즐거운 쇼핑을 함께 할 직원을 찾습니다!	69	12000	6	3	8	0	1
499	크리스피크림도넛에서 달콤한 순간을 제공할 직원을 모집합니다.	31	13000	2	4	7	1	1
500	간단해서 좋아요! 세븐일레븐 주야간 교대 알바 구해요!	18	12000	3	4	4	1	1
